Objet
la gestion d'instituts de beauté et la vente de services et de produits dans le domaine de la cosmétique.
"la société a pour but de fournir des conseils aux entreprises et aux personnes privées dans le domaine immobilier, notamment concernant l'achat, la vente, la location, la mise en valeur, le courtage, la promotion, la gérance, l'administration et la gestion de tous projets immobiliers, à l'exception des opérations prohibées par la LFAIE; promotion et commercialisation de bateaux électriques; importation, exportation, achat, vente, production et fabrication de tous produits dans les domaines de l'esthétique et de l'onglerie; exploitation d'instituts de beauté (pour but complet cf. statuts)."
la société a pour but la recherche d'héritiers et la généalogie successorale (cf. statuts pour but complet).
"en Suisse et à l'étranger, l'offre de tous services dans les domaines de la promotion, de la vente, du marketing, du design et de la communication (cf. statuts pour but complet)."
"développer et exploiter une infrastructure de serveurs, notamment en offrant des services dans le domaine des technologies de l'information pour elle-même et pour des tiers en Suisse et à l'étranger et en effectuant toutes autres activités. La société peut acquérir, détenir, gérer, mettre en valeur et aliéner des immeubles (à l'exclusion des opérations soumises à la LFAIE) et des droits de propriété intellectuelle en Suisse et à l'étranger. La société peut effectuer toutes sortes de transactions et prendre toutes les mesures qui lui semblent favorables à son but ou en rapport avec de dernier."
"recherche, développement, production également pour des tiers ou par le biais de sous-traitants, achat, promotion, importation et exportation et vente de produits pharmaceutiques, parapharmaceutiques, diététiques, cosmétiques et médico-chirurgicaux, ainsi que tous leurs dérivés et produits connexes à usage humain et vétérinaire; développement de la recherche scientifique et de la technologique dans les domaines de la santé et de la qualité de vie, également grâce à la collaboration avec des organismes et instituts nationaux et internationaux; diffusion des connaissances scientifiques par le biais de conférences, séminaires, congrès, publications et produits multimédias; prise en charge de l'intérêt et de la participation dans des sociétés et des sociétés commerciales et industrielles, nationales et étrangères (cf. statuts pour but complet)."
"promouvoir et de mettre en oeuvre toute action en faveur de l'éducation, de la jeunesse, de la prévention et du traitement des addictions et du développement social et communautaire; de contribuer par son action au développement de la participation de la société civile dans les organismes internationaux; de définir une politique et des objectifs communs à l'intention d'un réseau d'organisations et de fondations (le réseau Dianova), notamment par le biais d'une charte et de directives et règlements (cf. statuts pour but complet)."
(cf. but de l'établissement principal)
"courtage en assurances, représentation d'assurances suisses et étrangères, étude et gérance de portefeuilles, conseils, expertises et arbitrages en matière d'assurance."
"acquisition, vente et gestion de biens immobiliers (cf. statuts pour but complet)."
"nettoyage, désinfection, dératisation et désinsectisation."
"investissement dans des immeubles ainsi que l'exercice de toute activité commerciale, financière et autres en rapport avec le but."
"exploitation d'une boutique de prêt-à-porter, chaussures et accessoires (cf. statuts pour but complet)."
"toute activité de rénovation d'intérieurs, plâtrerie, peinture et sols (cf. statuts pour but complet)."
"service de dépannage pour l'ouverture des portes, les réparations et les poses de serrures de sécurité, de portes blindées, de coffres-forts et de systèmes d'alarmes, ainsi que tout matériel se rapportant à la sécurité de l'habitat."
"commerce, distribution, installation et entretien d'équipement médical ainsi que de ses composants; services dans les domaines médical et commercial; conseil; services d'intermédiaire; commerce de détail et commerce de gros (cf. statuts pour but complet)."
"tous travaux de peinture, gypserie, maçonnerie et carrelage ainsi que tous travaux dans le bâtiment (cf. statuts pour but complet)."
"conseil, projets et réalisations en matière d'urbanisme et d'architecture."
Entreprise générale du bâtiment
"acquisition d'un établissement stable et d'immeubles commerciaux, à l'exception des opérations soumises à la LFAIE, gérance d'immeubles et conseils dans le domaine immobilier; faire soit pour son propre compte, soit pour le compte de tiers, toutes opérations financières, commerciales, mobilières se rattachant directement ou indirectement à son but et s'intéresser sous toutes formes à toutes entreprises similaires."
"achat, détention, administration, gestion de participations à toutes sociétés (cf. statuts pour but complet)."
"conseil et représentation en gestion de fortune et exploitation d'un service de conciergerie; acquérir, exploiter, vendre et céder en licence tous les biens relevant de la propriété intellectuelle et industrielle; gérer des biens immobiliers (cf. statuts pour but complet)."
"conseil, audit, développement, support et management dans le domaine du semi-conducteur (cf. statuts pour but complet)."
"édition, régie publicitaire, sponsoring, conseil en média, achat d'espace, gestion et exploitation de sites internet, toute activité dans le domaine de la communication, toutes autres activités commerciales directes ou indirectes ainsi que participation dans d'autres activités et sociétés; achat, exploitation et vente de biens immobiliers (cf. statuts pour but complet)."
(cf. but de l'établissement principal)
"réalisation de toute construction métallique, pose de fenêtres, de portes, de stores et de toutes protections solaires extérieures; placement intérim et permanent de personnel spécialisé dans tous les secteurs de la construction et de l'industrie (cf. statuts pour but complet)."
spécialiste en devises étrangères; change de devises en ligne dans plus de 130 devises.
"régie d'immeubles, terrains et villas, achat, vente et courtage; gestion de fortune; exploitation d'un portefeuille d'assurances (cf. statuts pour but complet)."
second oeuvre dans le domaine de la gypserie et peinture.
"exploitation d'une fiduciaire pour personnes morales et physiques, gestion et administration pour entreprises et pour particuliers, conseils juridiques et stratégiques."
"café-restaurant à l'enseigne ""Les Ritaliens""."
agence générale d'assurance.
"café-restaurant à l'enseigne ""Café de la Poste""."
"exploitation et gestion de tout établissement se rapportant à la parahôtellerie, aux apparthôtels, hôtels et auberges; fabrication et diffusion sur tout support d'oeuvres artistiques en tout genre; enseignement et formation d'artistes (cf. statuts pour but complet)."
"design, créations d'objets contemporains, modélisation, impression 3D."
entreprise de peinture et pose de papiers-peints.
"commerce d'articles d'horlogerie, de bijouterie et d'orfèvrerie (cf. statuts pour but complet)."
"formation, conseils aux entreprises dans l'industrie graphique, création graphique et reproduction, installation et maintenance de sites informatiques, achat et vente de matériels informatiques, de logiciels et de matériel en tout genre."
institut de beauté.
"coach sportif, instructeur fitness, aquagym et marche nordique, masseuse, cours en entreprise et à domicile."
consultant financier et gestion de fortune.
"chauffage, ventilation, climatisation, sanitaires, construction, rénovation, dépannage, maintenance."
impression personnalisée de tee-shirts par l'entreprise et vente en ligne (www.adestinycalledlove.com).
exploiter un service de médecins à domicile indépendants volontaires dans le canton de Genève et en Terre Sainte; exploiter par tout moyen technologique la mise en oeuvre de ce service et acquérir et exploiter des cabinets et cliniques ou tout autre centre de santé (cf. statuts pour but complet).
"soins infirmiers à domicile, soins aide-accompagnement."
"Importation, exportation et représentation de vins et produits divers."
entreprise de gypserie-peinture et pose de papiers-peints.
commerce de vêtements prêt-à-porter pour dames.
"importation, représentation et commerce d'articles textiles en provenance de Turquie."
parquet et nettoyage.
"élaboration, préparation et vente de denrées alimentaires; vente/débit de boissons avec et sans alcool; service traiteur et toutes activités qui s'y rapportent; gestion, conseil et enseignement dans les domaines de l'hôtellerie, de la restauration et de l'évènementiel; marketing, communication, création de sites internet et d'applications mobiles ainsi que toutes activités qui s'y rapportent (cf. statuts pour but complet)."
vente de mets à l'emporter.
"l'exploitation d'un commerce de décoration, de mode, d'aménagement intérieur et d'élaboration de cours dans le domaine de l'organisation des ménages (cf. statuts pour but complet)."
"conseils, coordination et réalisation de travaux de rénovation (cf. statuts pour but complet)."
exécuter tous mandats et opérations rentrant dans la sphère d'activité d'une société fiduciaire.
"toutes activités de jardinerie, paysagiste (cf. statuts pour but complet)."
"importation et exportation de produits alimentaires ""El Rey del Jamon""."
"coaching: développement individuel, personnel et professionnel utilisant la méthode ""coaching intégral""."
commerce de blanc et de nouveautés.
"charpente, menuiserie, agencement, escaliers."
